Environment Canada
Monthly Values for December - 2015

"Legend"
"Stn_Name","Station Name"
"Lat","Latitude (North + , degrees)"
"Long","Longitude (West - , degrees)"
"Prov","Province"
"Tm","Mean Temperature (°C)"
"DwTm","Days without Valid Mean Temperature"
"D","Mean Temperature difference from Normal (1981-2010) (°C)"
"Tx","Highest Monthly Maximum Temperature (°C)"
"DwTx","Days without Valid Maximum Temperature"
"Tn","Lowest Monthly Minimum Temperature (°C)"
"DwTn","Days without Valid Minimum Temperature"
"S","Snowfall (cm)"
"DwS","Days without Valid Snowfall"
"S%N","Percent of Normal (1981-2010) Snowfall"
"P","Total Precipitation (mm)"
"DwP","Days without Valid Precipitation"
"P%N","Percent of Normal (1981-2010) Precipitation"
"S_G","Snow on the ground at the end of the month (cm)"
"Pd","Number of days with Precipitation 1.0 mm or more"
"BS","Bright Sunshine (hours)"
"DwBS","Days without Valid Bright Sunshine"
"BS%","Percent of Normal (1981-2010) Bright Sunshine"
"HDD","Degree Days below 18 °C"
"CDD","Degree Days above 18 °C"
"Stn_No","Climate station identifier (first 3 digits indicate drainage basin, last 4 characters are for sorting alphabetically)."
"NA","Not Available"

"Stn_Name","Lat","Long","Prov","Tm","DwTm","D","Tx","DwTx","Tn","DwTn","S","DwS","S%N","P","DwP","P%N","S_G","Pd","BS","DwBS","BS%","HDD","CDD","Stn_No"
"CHEMAINUS","48.935","-123.742","BC","5.0","0",NA,"15.5","0","-2.0","0","2.2","0",NA,"354.2","0",NA,"0.0","21","","",NA,"403.0","0.0","1011500"
"LAKE COWICHAN","48.829","-124.052","BC","3.7","16","1.1","14.0","12","-6.0","11","1.2","12",NA,"581.8","12",NA,"0.0","17","","",NA,"215.2","0.0","1012055"
"DISCOVERY ISLAND","48.425","-123.226","BC","",,NA,"12.5","0","",,"",,NA,"",,NA,"","","",,NA,"","","1012475"
"DUNCAN KELVIN CREEK","48.735","-123.728","BC","3.9","1","0.5","15.0","1","-3.5","1","11.4","1",NA,"351.6","1",NA,"0.0","19","","",NA,"424.0","0.0","1012573"
"ESQUIMALT HARBOUR","48.432","-123.439","BC","6.2","1",NA,"14.1","1","0.3","0","",,NA,"155.0","1",NA,"","18","",,NA,"355.2","0.0","1012710"
"GALIANO NORTH","48.985","-123.573","BC","6.6","16",NA,"13.0","16","-1.0","16","0.0","16",NA,"95.5","16",NA,"0.0","11","","",NA,"171.0","0.0","10130MN"
"MALAHAT","48.575","-123.530","BC","3.3","0",NA,"11.9","0","-2.8","0","",,NA,"248.0","11",NA,"","15","",,NA,"454.8","0.0","1014820"
"METCHOSIN","48.374","-123.561","BC","",,NA,"",,"",,"0.0","0","0.0","247.0","0","168.0","0.0","23","","",NA,"","","1015105"
"NORTH COWICHAN","48.824","-123.718","BC","",,NA,"",,"",,"0.0","0","0.0","312.1","0","177.0","0.0","22","","",NA,"","","1015628"
"NORTH COWICHAN","48.824","-123.719","BC","4.2","2",NA,"14.0","2","-5.0","0","",,NA,"285.0","2",NA,"0.0","18","",,NA,"400.3","0.0","1015630"
"NORTH PENDER ISLAND","48.764","-123.287","BC","5.4","0",NA,"14.0","0","-2.5","0","0.0","0",NA,"162.8","0",NA,"0.0","22","","",NA,"390.6","0.0","1015638"
"RACE ROCKS","48.298","-123.531","BC","7.3","0",NA,"15.4","0","1.9","0","",,NA,"",,NA,"","","",,NA,"332.0","0.0","1016640"
"SAANICHTON CDA","48.622","-123.419","BC","5.2","0","0.7","14.0","0","-2.0","0","0.0","0","0.0","190.2","0","135.0","0.0","21","","",NA,"396.5","0.0","1016940"
"SAANICHTON MT NEWTON","48.598","-123.427","BC","",,NA,"",,"",,"0.0","18",NA,"161.6","18",NA,"","13","","",NA,"","","1016RM0"
"SATURNA CAPMON CS","48.775","-123.128","BC","4.4","1",NA,"13.1","1","-2.4","0","",,NA,"143.2","1",NA,"2.0","21","",,NA,"407.4","0.0","1017099"
"SATURNA ISLAND CS","48.784","-123.045","BC","6.6","1",NA,"14.3","1","0.8","0","",,NA,"119.0","1",NA,"","21","",,NA,"341.1","0.0","1017101"
"SHAWNIGAN LAKE","48.647","-123.626","BC","3.9","0","0.9","13.5","0","-3.5","0","15.0","0","101.0","313.2","0","161.0","0.0","22","","",NA,"436.5","0.0","1017230"
"SHERINGHAM POINT","48.377","-123.921","BC","8.4","11",NA,"14.7","11","3.3","10","",,NA,"202.0","11",NA,"","17","",,NA,"191.1","0.0","1017254"
"VICTORIA UNIVERSITY CS","48.457","-123.305","BC","5.7","0",NA,"13.5","0","-0.8","0","",,NA,"137.9","0",NA,"","17","",,NA,"380.6","0.0","1018598"
"VICTORIA FRANCIS PARK","48.476","-123.443","BC","",,NA,"",,"",,"0.0","19",NA,"180.2","19",NA,"","12","","",NA,"","","1018605"
"VICTORIA GONZALES CS","48.413","-123.325","BC","6.2","1",NA,"12.8","1","-0.9","0","",,NA,"121.4","3",NA,"","17","",,NA,"355.2","0.0","1018611"
"VICTORIA INTL A","48.647","-123.426","BC","5.2","0",NA,"14.9","0","-3.7","0","0.0","0",NA,"163.9","3",NA,"","18","",,NA,"398.2","0.0","1018621"
"BALLENAS ISLAND","49.350","-124.160","BC","6.3","0",NA,"15.5","0","0.5","0","",,NA,"166.0","0",NA,"","22","",,NA,"362.1","0.0","1020590"
"CAMPBELL RIVER A","49.952","-125.273","BC","2.2","0","0.2","10.7","0","-7.8","0","35.0","0","155.0","431.8","0","191.0","0.0","24","","",NA,"488.6","0.0","1021261"
"CAPE MUDGE","49.998","-125.195","BC","4.9","2","1.1","13.5","2","-1.5","2","10.6","2",NA,"336.8","2",NA,"0.0","21","","",NA,"379.3","0.0","1021330"
"CHATHAM POINT","50.333","-125.446","BC","4.8","0","1.0","11.0","0","-1.0","0","10.0","0","73.0","472.2","0","164.0","0.0","23","","",NA,"408.8","0.0","1021480"
"CHROME ISLAND","49.472","-124.683","BC","5.7","3",NA,"15.0","3","0.0","3","0.0","3",NA,"328.4","3",NA,"0.0","19","","",NA,"344.5","0.0","1021500"
"COMOX A","49.717","-124.900","BC","4.5","0","1.0","14.3","0","-3.2","0","7.4","0","40.0","356.2","0","190.0","","22","",,NA,"418.6","0.0","1021830"
"CORTES ISLAND TIBER BAY","50.071","-124.949","BC","4.0","0",NA,"12.0","0","-4.5","0","0.6","0",NA,"269.8","0",NA,"0.0","21","","",NA,"433.0","0.0","1021960"
"COURTENAY GRANTHAM","49.763","-124.999","BC","3.8","8",NA,"10.0","8","-4.0","8","2.0","8",NA,"365.4","8",NA,"9.0","17","","",NA,"326.2","0.0","1021988"
"COURTENAY PUNTLEDGE","49.686","-125.033","BC","3.5","3",NA,"11.0","2","-5.0","2","1.0","2",NA,"390.3","2",NA,"0.0","20","","",NA,"405.5","0.0","1021989"
"ENTRANCE ISLAND","49.209","-123.811","BC","6.5","0",NA,"14.9","0","0.9","0","",,NA,"156.0","0",NA,"","22","",,NA,"355.1","0.0","1022689"
"FANNY ISLAND","50.454","-125.993","BC","3.6","11",NA,"8.1","11","-1.0","10","",,NA,"111.2","13",NA,"","13","",,NA,"288.0","0.0","1022795"
"HERIOT BAY SE","50.099","-125.203","BC","4.5","6",NA,"11.0","6","-3.5","6","3.6","6",NA,"297.4","6",NA,"0.0","17","","",NA,"337.3","0.0","1023462"
"NANAIMO A","49.054","-123.870","BC","4.0","1","0.9","14.4","1","-3.4","1","7.6","1",NA,"327.5","1",NA,"0.0","20","","",NA,"420.5","0.0","1025370"
"NANAIMO CITY YARD","49.199","-123.988","BC","",,NA,"",,"",,"0.0","0","0.0","307.3","0","173.0","0.0","21","","",NA,"","","10253G0"
"PORT HARDY A","50.681","-127.367","BC","3.9","0",NA,"11.4","0","-5.2","0","2.4","1",NA,"324.2","1",NA,"","22","",,NA,"436.2","0.0","1026271"
"QUALICUM BEACH AIRPORT","49.337","-124.394","BC","4.0","0",NA,"15.2","0","-4.3","0","",,NA,"216.1","0",NA,"0.0","24","",,NA,"435.2","0.0","1026562"
"QUALICUM R FISH RESEARCH","49.394","-124.617","BC","4.8","8","1.4","13.5","8","-2.0","8","0.0","8",NA,"257.9","8",NA,"","16","","",NA,"303.5","0.0","1026565"
"QUINSAM RIVER HATCHERY","50.016","-125.304","BC","3.5","5","0.9","10.5","5","-5.5","5","6.5","4",NA,"396.7","4",NA,"0.0","21","","",NA,"377.5","0.0","1026639"
"SISTERS ISLAND","49.487","-124.435","BC","6.7","0",NA,"14.7","0","2.1","0","",,NA,"",,NA,"","","",,NA,"350.1","0.0","1027403"
"ENTRANCE ISLAND","49.209","-123.809","BC","6.1","2",NA,"14.5","2","-1.0","2","0.0","2",NA,"230.9","2",NA,"0.0","22","","",NA,"344.8","0.0","102BFHH"
"CAPE BEALE LIGHT","48.786","-125.216","BC","6.7","2","0.9","13.5","2","-1.0","2","0.0","2",NA,"466.0","2",NA,"0.0","20","","",NA,"327.5","0.0","1031316"
"CAPE SCOTT","50.782","-128.427","BC","4.5","20","-1.1","8.0","20","0.0","20","0.0","20",NA,"90.2","20",NA,"0.0","7","","",NA,"148.4","0.0","1031353"
"CARMANAH POINT","48.612","-124.751","BC","",,NA,"",,"",,"0.0","3",NA,"458.4","3",NA,"","24","","",NA,"","","1031402"
"ESTEVAN POINT","49.383","-126.543","BC","6.3","0","0.6","12.5","0","-2.0","0","0.0","0","0.0","497.0","0","116.0","0.0","23","","",NA,"362.9","0.0","1032730"
"ESTEVAN POINT CS","49.383","-126.543","BC","5.9","1",NA,"12.2","1","-2.0","0","",,NA,"466.5","1",NA,"","22","",,NA,"363.5","0.0","1032731"
"GOLD RIVER TOWNSITE","49.779","-126.055","BC","2.1","11","0.4","11.0","11","-10.0","11","4.0","11",NA,"249.0","11",NA,"3.0","12","","",NA,"318.8","0.0","1033232"
"LENNARD ISLAND","49.111","-125.923","BC","6.1","0",NA,"13.0","0","-2.0","0","0.0","0","0.0","574.6","0","135.0","0.0","24","","",NA,"370.3","0.0","1034600"
"NITINAT RIVER HATCHERY","48.859","-124.655","BC","3.7","2","0.4","13.5","2","-4.0","2","0.5","2",NA,"690.6","2",NA,"0.0","23","","",NA,"413.9","0.0","1035612"
"NOOTKA LIGHTSTATION","49.600","-126.617","BC","6.1","2","0.8","12.0","2","0.0","2","2.0","2",NA,"470.5","2",NA,"0.0","23","","",NA,"343.8","0.0","1035614"
"PACHENA POINT","48.723","-125.097","BC","6.5","2","1.2","12.5","2","-2.0","2","0.0","2",NA,"461.4","2",NA,"0.0","21","","",NA,"334.4","0.0","1035940"
"PORT ALBERNI COX LAKE","49.202","-124.752","BC","3.0","16","0.0","13.0","16","-3.0","16","20.8","16",NA,"365.5","16",NA,"","11","","",NA,"225.4","0.0","1036208"
"QUATSINO","50.534","-127.653","BC","4.2","8","0.2","11.0","8","-3.0","8","0.0","8",NA,"226.2","8",NA,"0.0","17","","",NA,"318.2","0.0","1036570"
"QUATSINO LIGHTSTATION","50.441","-128.033","BC","6.7","3","1.0","13.0","3","-0.5","3","5.0","3",NA,"357.8","3",NA,"0.0","21","","",NA,"315.8","0.0","1036572"
"PORT ALBERNI (AUT)","49.317","-124.927","BC","2.6","0",NA,"11.9","0","-7.1","0","",,NA,"300.4","20",NA,"","11","",,NA,"478.3","0.0","1036B06"
"SARTINE ISLAND (AUT)","50.821","-128.908","BC","6.7","2",NA,"10.8","2","1.5","0","",,NA,"249.2","2",NA,"","21","",,NA,"326.8","0.0","1037090"
"SOLANDER ISLAND (AUT)","50.112","-127.940","BC","6.7","2",NA,"11.5","2","2.9","0","",,NA,"232.6","2",NA,"","20","",,NA,"326.6","0.0","1037553"
"TAHSIS VILLAGE NORTH","49.932","-126.654","BC","4.1","11",NA,"13.0","11","-4.0","11","5.0","11",NA,"443.8","11",NA,"","17","","",NA,"277.9","0.0","1037899"
"TOFINO A","49.082","-125.773","BC","5.1","4","0.1","12.7","4","-5.6","4","2.0","4",NA,"483.2","4",NA,"0.0","21","","",NA,"347.8","0.0","1038205"
"UCLUELET KENNEDY CAMP","48.945","-125.527","BC","5.5","0","-0.1","13.0","0","-4.0","0","2.0","0","30.0","554.6","0","123.0","0.0","25","","",NA,"388.2","0.0","1038332"
"ZEBALLOS MURAUDE CREEK","50.053","-126.779","BC","3.4","0",NA,"13.0","0","-5.5","0","21.0","0",NA,"698.2","0",NA,"10.0","24","","",NA,"452.4","0.0","1039035"
"GIBSONS GOWER POINT","49.386","-123.541","BC","5.6","0","1.4","12.5","0","-1.5","0","0.0","0","0.0","260.6","0","146.0","0.0","23","","",NA,"384.5","0.0","1043152"
"MERRY ISLAND LIGHTSTATION","49.468","-123.913","BC","6.6","2","1.4","14.0","2","0.0","2","0.0","2",NA,"222.8","2",NA,"0.0","20","","",NA,"330.8","0.0","1045100"
"HOWE SOUND - PAM ROCKS","49.488","-123.299","BC","5.7","4",NA,"15.1","4","-0.4","1","",,NA,"203.0","6",NA,"","21","",,NA,"331.8","0.0","10459NN"
"PENDER HARBOUR","49.634","-124.032","BC","",,NA,"",,"",,"0.0","0",NA,"199.7","0",NA,"0.0","20","","",NA,"","","1046115"
"PORT MELLON","49.526","-123.496","BC","4.1","2",NA,"11.8","2","-4.0","0","",,NA,"755.0","2",NA,"7.0","24","",,NA,"403.9","0.0","1046332"
"POWELL RIVER A","49.834","-124.500","BC","4.1","0","0.9","12.5","0","-4.5","0","10.4","0","90.0","269.0","0","170.0","0.0","22","","",NA,"432.3","0.0","1046391"
"POWELL RIVER","49.835","-124.497","BC","3.6","1",NA,"12.2","1","-4.2","0","",,NA,"235.6","1",NA,"0.0","19","",,NA,"431.0","0.0","1046392"
"SECHELT AUT","49.458","-123.715","BC","4.5","0",NA,"12.9","0","-4.6","0","",,NA,"221.4","0",NA,"2.0","22","",,NA,"418.2","0.0","1047172"
"SQUAMISH AIRPORT","49.783","-123.161","BC","1.8","1",NA,"14.8","1","-9.7","0","",,NA,"521.7","1",NA,"20.0","21","",,NA,"486.4","0.0","10476F0"
"WHISTLER","50.129","-122.955","BC","-2.1","0","0.7","7.3","0","-13.9","0","116.8","0","103.0","262.4","0","170.0","51.0","20","","",NA,"623.6","0.0","1048898"
"CAPE ST JAMES","51.936","-131.016","BC","6.6","2",NA,"10.1","2","2.6","0","",,NA,"116.8","3",NA,"","21","",,NA,"331.1","0.0","1051351"
"KINDAKUN ROCKS (AUT)","53.316","-132.772","BC","7.8","17",NA,"11.3","17","2.9","13","",,NA,"82.2","17",NA,"","10","",,NA,"143.1","0.0","1054222"
"LANGARA","54.255","-133.058","BC","4.8","0","0.5","9.0","0","0.5","0","0.0","0","0.0","135.6","0","61.0","0.0","23","",,NA,"407.9","0.0","1054500"
"LANGARA ISLAND RCS","54.255","-133.058","BC","4.6","3",NA,"8.8","2","0.6","1","",,NA,"118.7","4",NA,"","19","",,NA,"374.3","0.0","1054503"
"MASSET A","54.000","-132.167","BC","3.7","0",NA,"9.7","0","-4.0","0","2.6","0",NA,"172.1","0",NA,"0.0","23","","",NA,"443.0","0.0","1054925"
"ROSE SPIT (AUT)","54.159","-131.661","BC","4.8","0",NA,"9.9","0","-1.7","0","",,NA,"217.0","0",NA,"","19","",,NA,"408.4","0.0","1056869"
"SANDSPIT A","53.254","-131.813","BC","4.8","0","0.6","10.5","0","-2.0","0","0.0","0","0.0","148.2","0","76.0","0.0","22","","",NA,"408.4","0.0","1057050"
"SANDSPIT AIRPORT AUTO","53.249","-131.813","BC","4.6","0",NA,"9.8","0","-2.4","0","",,NA,"123.5","0",NA,"","17","",,NA,"415.1","0.0","1057051"
"SANDSPIT","53.254","-131.814","BC","4.8","9",NA,"9.8","9","-1.2","9","",,NA,"48.7","9",NA,"","11","",,NA,"291.4","0.0","1057052"
"ADDENBROKE ISLAND","51.604","-127.864","BC","5.2","0","0.6","15.0","0","-2.5","0","0.0","0","0.0","419.8","0","114.0","0.0","23","","",NA,"395.6","0.0","1060080"
"BELLA BELLA","52.185","-128.157","BC","2.9","1",NA,"11.3","1","-8.7","1","",,NA,"319.2","1",NA,"","21","",,NA,"452.2","0.0","1060815"
"BELLA COOLA A","52.388","-126.596","BC","-1.2","4","-1.3","5.9","4","-15.0","4","38.6","4",NA,"173.4","4",NA,"27.0","15","","",NA,"518.9","0.0","1060841"
"BELLA COOLA AIRPORT","52.389","-126.587","BC","-2.4","8",NA,"6.8","8","-15.6","8","",,NA,"53.5","8",NA,"24.0","8","",,NA,"470.3","0.0","1060844"
"BOAT BLUFF","52.643","-128.524","BC","4.3","0","0.7","12.0","0","-2.5","0","24.2","0","111.0","522.6","0","83.0","0.0","24","","",NA,"425.6","0.0","1060901"
"BONILLA ISLAND","53.493","-130.638","BC","5.5","2","0.3","10.0","2","0.0","2","2.0","2",NA,"191.2","2",NA,"0.0","18","","",NA,"361.5","0.0","1060902"
"BONILLA ISLAND (AUT)","53.493","-130.639","BC","5.7","2",NA,"10.3","2","0.5","0","",,NA,"162.4","2",NA,"","16","",,NA,"355.5","0.0","1060R0K"
"CATHEDRAL POINT (AUT)","52.187","-127.471","BC","3.3","2",NA,"10.7","2","-1.9","0","",,NA,"198.0","9",NA,"","15","",,NA,"426.1","0.0","1061458"
"CUMSHEWA ISLAND","53.030","-131.602","BC","6.4","1",NA,"10.6","1","1.5","0","",,NA,"72.6","6",NA,"","12","",,NA,"349.2","0.0","1062251"
"DRYAD POINT","52.185","-128.112","BC","4.6","0","0.2","11.5","0","-2.0","0","0.0","0","0.0","298.0","0","109.0","0.0","22","","",NA,"414.3","0.0","1062544"
"EGG ISLAND","51.247","-127.835","BC","6.7","19","2.1","11.0","19","0.0","19","0.0","19",NA,"121.4","19",NA,"","11","","",NA,"135.4","0.0","1062646"
"GREEN ISLAND","54.569","-130.708","BC","4.2","0","0.2","10.0","0","-2.5","0","8.2","0","74.0","195.2","0","72.0","1.0","19","","",NA,"429.3","0.0","1063298"
"GREY ISLET (AUT)","54.580","-130.698","BC","4.2","1",NA,"10.7","1","-2.4","0","",,NA,"108.4","9",NA,"","14","",,NA,"414.9","0.0","1063303"
"HERBERT ISLAND (AUT)","50.940","-127.632","BC","6.4","2",NA,"11.9","2","1.6","0","",,NA,"95.6","2",NA,"","19","",,NA,"336.9","0.0","1063461"
"HOLLAND ROCK","54.172","-130.361","BC","4.7","0",NA,"10.3","0","-2.2","0","",,NA,"45.8","6",NA,"","14","",,NA,"411.6","0.0","1063496"
