Environment Canada
Monthly Values for November - 2010

"Legend"
"Stn_Name","Station Name"
"Lat","Latitude (North + , degrees)"
"Long","Longitude (West - , degrees)"
"Prov","Province"
"Tm","Mean Temperature (°C)"
"DwTm","Days without Valid Mean Temperature"
"D","Mean Temperature difference from Normal (1981-2010) (°C)"
"Tx","Highest Monthly Maximum Temperature (°C)"
"DwTx","Days without Valid Maximum Temperature"
"Tn","Lowest Monthly Minimum Temperature (°C)"
"DwTn","Days without Valid Minimum Temperature"
"S","Snowfall (cm)"
"DwS","Days without Valid Snowfall"
"S%N","Percent of Normal (1981-2010) Snowfall"
"P","Total Precipitation (mm)"
"DwP","Days without Valid Precipitation"
"P%N","Percent of Normal (1981-2010) Precipitation"
"S_G","Snow on the ground at the end of the month (cm)"
"Pd","Number of days with Precipitation 1.0 mm or more"
"BS","Bright Sunshine (hours)"
"DwBS","Days without Valid Bright Sunshine"
"BS%","Percent of Normal (1981-2010) Bright Sunshine"
"HDD","Degree Days below 18 °C"
"CDD","Degree Days above 18 °C"
"Stn_No","Climate station identifier (first 3 digits indicate drainage basin, last 4 characters are for sorting alphabetically)."
"NA","Not Available"

"Stn_Name","Lat","Long","Prov","Tm","DwTm","D","Tx","DwTx","Tn","DwTn","S","DwS","S%N","P","DwP","P%N","S_G","Pd","BS","DwBS","BS%","HDD","CDD","Stn_No"
"CHEMAINUS","48.935","-123.742","BC","5.1","0",NA,"15.0","0","-7.5","0","28.4","0",NA,"182.9","0",NA,"0.0","21","","",NA,"386.2","0.0","1011500"
"COWICHAN LAKE FORESTRY","48.824","-124.133","BC","3.2","11","-2.3","16.5","11","-9.0","11","26.0","0","235.0","289.1","0","74.0","","23","","",NA,"281.5","0.0","1012040"
"LAKE COWICHAN","48.829","-124.052","BC","3.6","17","-1.8","18.0","17","-11.5","11","9.8","16",NA,"113.8","16",NA,"0.0","11","","",NA,"187.8","0.0","1012055"
"DISCOVERY ISLAND","48.424","-123.225","BC","6.5","0",NA,"13.3","0","-5.8","0","",,NA,"",,NA,"","","",,NA,"346.1","0.0","1012475"
"DUNCAN KELVIN CREEK","48.735","-123.728","BC","4.0","1","-1.8","16.5","1","-11.0","1","33.8","1",NA,"178.0","1",NA,"0.0","19","","",NA,"405.7","0.0","1012573"
"ESQUIMALT HARBOUR","48.432","-123.439","BC","5.4","0",NA,"15.2","0","-6.9","0","",,NA,"34.8","0",NA,"","7","",,NA,"379.0","0.0","1012710"
"GALIANO NORTH","48.985","-123.573","BC","5.3","4",NA,"14.5","4","-7.0","4","15.2","4",NA,"151.2","4",NA,"0.0","20","","",NA,"330.5","0.0","10130MN"
"MALAHAT","48.575","-123.530","BC","3.6","0",NA,"15.3","0","-10.3","0","",,NA,"",,NA,"","","",,NA,"430.9","0.0","1014820"
"METCHOSIN","48.374","-123.561","BC","",,NA,"",,"",,"18.0","0","344.0","99.2","0","47.0","0.0","14","","",NA,"","","1015105"
"NORTH COWICHAN","48.824","-123.718","BC","",,NA,"",,"",,"17.0","14",NA,"101.2","14",NA,"0.0","11","","",NA,"","","1015628"
"NORTH COWICHAN","48.824","-123.719","BC","4.2","0",NA,"16.6","0","-10.5","0","",,NA,"159.5","1",NA,"","18","",,NA,"413.9","0.0","1015630"
