Environment Canada
Monthly Values for January - 2013

"Legend"
"Stn_Name","Station Name"
"Lat","Latitude (North + , degrees)"
"Long","Longitude (West - , degrees)"
"Prov","Province"
"Tm","Mean Temperature (°C)"
"DwTm","Days without Valid Mean Temperature"
"D","Mean Temperature difference from Normal (1981-2010) (°C)"
"Tx","Highest Monthly Maximum Temperature (°C)"
"DwTx","Days without Valid Maximum Temperature"
"Tn","Lowest Monthly Minimum Temperature (°C)"
"DwTn","Days without Valid Minimum Temperature"
"S","Snowfall (cm)"
"DwS","Days without Valid Snowfall"
"S%N","Percent of Normal (1981-2010) Snowfall"
"P","Total Precipitation (mm)"
"DwP","Days without Valid Precipitation"
"P%N","Percent of Normal (1981-2010) Precipitation"
"S_G","Snow on the ground at the end of the month (cm)"
"Pd","Number of days with Precipitation 1.0 mm or more"
"BS","Bright Sunshine (hours)"
"DwBS","Days without Valid Bright Sunshine"
"BS%","Percent of Normal (1981-2010) Bright Sunshine"
"HDD","Degree Days below 18 °C"
"CDD","Degree Days above 18 °C"
"Stn_No","Climate station identifier (first 3 digits indicate drainage basin, last 4 characters are for sorting alphabetically)."
"NA","Not Available"

"Stn_Name","Lat","Long","Prov","Tm","DwTm","D","Tx","DwTx","Tn","DwTn","S","DwS","S%N","P","DwP","P%N","S_G","Pd","BS","DwBS","BS%","HDD","CDD","Stn_No"
"CHEMAINUS","48.935","-123.742","BC","3.1","0",NA,"11.0","0","-3.0","0","3.0","0",NA,"115.8","0",NA,"0.0","12","","",NA,"461.1","0.0","1011500"
"COWICHAN LAKE FORESTRY","48.824","-124.133","BC","2.0","0","-1.4","9.5","0","-6.5","0","2.0","0","7.0","142.6","0","40.0","0.0","17","","",NA,"496.1","0.0","1012040"
"LAKE COWICHAN","48.829","-124.052","BC","2.3","16","-1.2","10.5","11","-6.5","11","0.0","11",NA,"139.4","11",NA,"0.0","11","","",NA,"235.4","0.0","1012055"
"DISCOVERY ISLAND","48.424","-123.225","BC","4.6","10",NA,"9.1","10","0.8","0","",,NA,"",,NA,"","","",,NA,"281.4","0.0","1012475"
"DUNCAN KELVIN CREEK","48.735","-123.728","BC","2.0","2","-1.6","10.5","2","-5.0","2","0.0","2",NA,"90.0","2",NA,"0.0","9","","",NA,"464.7","0.0","1012573"
"ESQUIMALT HARBOUR","48.432","-123.439","BC","4.0","0",NA,"10.0","0","-2.5","0","",,NA,"102.0","1",NA,"","10","",,NA,"435.5","0.0","1012710"
"GALIANO NORTH","48.985","-123.573","BC","4.1","8",NA,"11.0","8","-1.5","8","0.0","8",NA,"96.0","8",NA,"0.0","12","","",NA,"320.5","0.0","10130MN"
"MALAHAT","48.575","-123.530","BC","2.3","0",NA,"8.4","0","-3.9","0","",,NA,"",,NA,"","","",,NA,"485.8","0.0","1014820"
"METCHOSIN","48.374","-123.561","BC","",,NA,"",,"",,"0.0","0","0.0","113.6","0","68.0","0.0","14","","",NA,"","","1015105"
"NORTH COWICHAN","48.824","-123.718","BC","",,NA,"",,"",,"0.0","17",NA,"73.1","17",NA,"0.0","6","","",NA,"","","1015628"
"NORTH COWICHAN","48.824","-123.719","BC","2.8","0",NA,"11.7","0","-5.9","0","",,NA,"97.7","0",NA,"","10","",,NA,"472.3","0.0","1015630"
"NORTH PENDER ISLAND","48.764","-123.287","BC","3.6","4",NA,"11.0","4","-2.5","4","0.0","4",NA,"89.5","4",NA,"0.0","9","","",NA,"388.5","0.0","1015638"
"PORT RENFREW","48.592","-124.326","BC","1.9","0","-2.1","10.0","0","-5.0","0","0.0","0","0.0","279.6","0","50.0","0.0","17","","",NA,"497.6","0.0","1016335"
"SAANICHTON CDA","48.622","-123.419","BC","3.5","1","-1.3","10.5","0","-3.0","1","0.0","0","0.0","100.6","0","69.0","0.0","13","","",NA,"436.0","0.0","1016940"
"SALTSPRING ST MARY'S L","48.888","-123.546","BC","3.4","0","-0.9","10.0","0","-2.0","0","0.0","0","0.0","100.8","0","62.0","0.0","12","","",NA,"452.1","0.0","1016995"
"SAANICHTON MT NEWTON","48.598","-123.427","BC","",,NA,"",,"",,"0.0","25",NA,"95.2","25",NA,"0.0","6","","",NA,"","","1016RM0"
"SATURNA CAPMON","48.775","-123.128","BC","2.6","4","-1.8","8.6","2","-3.3","2","0.6","2",NA,"100.0","1",NA,"0.0","14","","",NA,"416.8","0.0","1017098"
"SATURNA CAPMON CS","48.775","-123.128","BC","2.7","0",NA,"8.3","0","-3.3","0","",,NA,"102.5","0",NA,"","15","",,NA,"474.9","0.0","1017099"
"SATURNA ISLAND CS","48.784","-123.045","BC","3.4","0",NA,"9.5","0","-1.8","0","",,NA,"76.8","1",NA,"","13","",,NA,"451.2","0.0","1017101"
"SHAWNIGAN LAKE","48.647","-123.626","BC","2.3","0","-1.1","12.0","0","-5.5","0","4.0","0","20.0","97.4","0","45.0","0.0","10","","",NA,"486.6","0.0","1017230"
"SHERINGHAM POINT","48.377","-123.921","BC","5.2","0",NA,"11.3","0","0.4","0","",,NA,"129.8","3",NA,"","12","",,NA,"397.9","0.0","1017254"
"VICTORIA UNIVERSITY CS","48.457","-123.305","BC","4.1","0",NA,"9.5","0","-2.8","0","",,NA,"71.8","1",NA,"","13","",,NA,"430.8","0.0","1018598"
"VICTORIA FRANCIS PARK","48.476","-123.443","BC","",,NA,"",,"",,"0.0","0","0.0","106.6","0","60.0","0.0","14","","",NA,"","","1018605"
